sn,min,max,mean
0.0,-0.25,0.89,0.36
1.0,-0.4,0.91,0.51
2.0,0.02,0.9,0.54
3.0,-0.05,0.9,0.52
4.0,-0.23,0.9,0.44
5.0,-0.04,0.88,0.5
6.0,-0.03,0.89,0.32
7.0,-0.02,0.86,0.41
8.0,-0.03,0.89,0.59
9.0,-0.51,0.93,0.71
